title,author,summary,date,kudos
"Manacled
      by
        
      
senlinyu",senlinyu,"Harry Potter is dead. In the aftermath of the war, in order to strengthen the might of the magical world, Voldemort enacts a repopulation effort. Hermione Granger has an Order secret, lost but hidden in her mind, so she is sent as an enslaved surrogate to the High Reeve until her mind can be cracked.Illustrated by Avendell.",19 Aug 2019,"94,848"
"Draco Malfoy and the Mortifying Ordeal of Being in Love
      by
        
      
isthisselfcare",isthisselfcare,"Hermione straddles the Muggle and Magical worlds as a medical researcher and Healer about to make a big discovery. Draco is an Auror assigned to protect her from forces unknown – to both of their displeasure.Features hyper-competent, fiery Hermione and lazy, yet dangerous, Draco. Slow burn.",08 Apr 2022,"63,262"
"Measure Of A Man
      by
        
      
inadaze22",inadaze22,"To truly know someone is to differentiate between who they once were, who they are now, and who they're capable of being. Hermione realises the duality of one man as she rectifies what she knows of the past and begins to understand the pieces of who Draco Malfoy is now: a father, a son, and a man.",22 Apr 2022,"27,789"
"The Auction
      by
        
      
LovesBitca8",LovesBitca8,"In the wake of the Dark Lord’s triumph over Harry Potter, the defeated must learn their new place. Hermione Granger, former Golden Girl, has been captured and reduced to human chattel. Sold to the highest bidder as the top prize at an auction of Order members and sympathizers, she is thrust into the rabid, waiting hands of the Death Eaters. But despite the horrors of Voldemort’s new world, help—and hope—seem to arise from the most unlikely of places.PART 3 of the RIGHTS AND WRONGS series.",07 Dec 2020,"34,419"
"All You Want
      by
        
      
senlinyu



        for solaine",senlinyu,"Eighth Year at Hogwarts was supposed to be Hermione’s. And it is, just not in the way she expects. Omegaverse fic.",08 Apr 2019,"47,189"
"Let The Dark In
      by
        
      
senlinyu",senlinyu,"In a world where the rise of Voldemort never occurred, Wizarding society has found new ways to repress and exclude those they consider outsiders. Hermione Granger attends Hogwarts as one of the few Muggle-born students. Despite her efforts to make a place for herself, her future seems set in stone until Sixth Year, when the Triwizard Tournament is announced and everything begins to change.
“Bloody hell,” Ron says from beside her. “I think that blond tosser in the front is a Malfoy.”
She tears her eyes away to stare at Ron. “A who?”
He laughs and points at the blond boy. “Malfoy. I dunno his first name, but he’s definitely got to be a Malfoy. Old pureblood family from here in Britain. Bastards, the lot of them. Always Slytherins here at Hogwarts. Heard his dad sent him to Durmstrang because he didn’t want his son near any Muggle-borns.”",11 Feb 2024,"42,731"
"Remain Nameless
      by
        
      
HeyJude19",HeyJude19,"How did it feel? It felt like he was barely holding it together. She, of all people, should shun him. Or yell at him. Curse him. Spit at him. Take out her wand and blast him off the face of the earth. It was crushing guilt and relief and confusion all at once when he looked at Hermione Granger.The monotony of Draco’s daily routine had become both a lifeline and a noose. But this new habit of grabbing coffee with Hermione Granger is quickly becoming a reason to get out of bed and is unfortunately forcing him to re-evaluate his inconsequential existence.Hermione is living her life in fragments, separate pieces scattered about, and she can’t find a way to step back and let the full picture form. Why are morning meetings with Draco Malfoy the only thing that make sense anymore?",24 Nov 2020,"26,412"
"Secrets and Masks
      by
        
      
Emerald_Slytherin",Emerald_Slytherin,"9 years after the battle of Hogwarts, the war still rages on and everyone is much changed since their days at Hogwarts.Hermione is the most lethal soldier in The Order, spending her days on rescue missions to free captured Muggleborn slaves and fight on the front line. For years, she's been meeting in secret with a spy within Voldemort's ranks to exchange information.But when she's captured and made prisoner at Malfoy Manor, of all the dark and evil ways she'd envisioned Malfoy would torture her, she never quite imagined anything this horrific.I just wanted to make it abundantly clear that I was originally inspired to write this fic after I read the masterpiece that is Manacled, so I would like to thank SenLinYu for her amazing work! The memory searching aspect of Manacled is what inspired me, and although I have adapted that, (and also made Draco head Death Eater, because... ya know... we all love it when he's Voldemort's right hand man 😅😉),  Secrets and Masks will be a very very different fic all together.",12 Nov 2022,"21,458"
"The Right Thing To Do
      by
        
      
LovesBitca8",LovesBitca8,"Hermione felt the pounding in her ears again. She would see him for the first time since the Great Hall, gaunt and stricken at the Slytherin table with his mother clutching his arm. She hadn't meant to look for him. Not in the corridors, not beneath the white sheets of the fallen, not on the way to the Chamber of Secrets with Ron, but she was a stupid girl.",13 Apr 2018,"31,167"
"Isolation
      by
        
      
bexchan",bexchan,"He can't leave the room. Her room. And it's all the Order's fault. Confined to a small space with only the Mudblood for company, something's going to give. Maybe his sanity. Maybe not. ""There,"" she spat. ""Now your Blood's filthy too!"" DM/HG. PostHBP. Now complete with the epilogue.",03 Apr 2020,"16,312"
